Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2016-09-05 00:02:00,55.2,47.9,29.83,SSW,193,0.8,2.6,76,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 07:02:00,
2016-09-05 00:07:00,55.4,48.0,29.83,SSE,164,0.4,3.3,76,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 07:07:00,
2016-09-05 00:12:00,55.2,47.6,29.84,SSE,147,0.3,3.3,76,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 07:12:00,
2016-09-05 00:17:00,54.8,47.3,29.84,South,187,0.2,0.9,76,0.00,,,0.00,2,WeatherBaga 2.4.4,2016-09-05 07:17:00,
2016-09-05 00:22:00,54.5,47.1,29.84,SW,220,0.2,0.7,76,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 07:22:00,
2016-09-05 00:27:00,54.3,47.3,29.83,SSW,199,0.8,1.1,77,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 07:27:00,
2016-09-05 00:32:00,54.1,47.3,29.83,NNE,22,0.2,1.1,78,0.00,,,0.00,2,WeatherBaga 2.4.4,2016-09-05 07:32:00,
2016-09-05 00:37:00,54.1,47.6,29.83,SSW,201,0.8,1.1,79,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 07:37:00,
2016-09-05 00:42:00,53.9,47.5,29.83,SSW,213,0.6,1.0,79,0.00,,,0.00,2,WeatherBaga 2.4.4,2016-09-05 07:42:00,
2016-09-05 00:47:00,53.7,47.4,29.83,NW,324,0.5,1.1,79,0.00,,,0.00,2,WeatherBaga 2.4.4,2016-09-05 07:47:00,
2016-09-05 00:52:00,53.6,47.4,29.84,West,276,1.1,1.3,80,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 07:52:00,
2016-09-05 00:57:00,53.4,47.2,29.83,NW,304,0.5,1.3,80,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 07:57:00,
2016-09-05 01:02:00,53.2,47.0,29.83,NW,319,1.0,1.1,80,0.00,,,0.00,2,WeatherBaga 2.4.4,2016-09-05 08:02:00,
2016-09-05 01:07:00,53.0,46.8,29.83,SSW,192,0.4,1.4,80,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 08:07:00,
2016-09-05 01:12:00,52.8,46.7,29.83,SSW,194,0.2,1.4,80,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 08:12:00,
2016-09-05 01:17:00,52.7,46.6,29.83,WNW,288,0.4,0.7,80,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 08:17:00,
2016-09-05 01:22:00,52.5,46.5,29.83,South,174,0.2,0.8,80,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 08:22:00,
2016-09-05 01:27:00,52.3,46.4,29.83,West,277,0.7,0.8,80,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 08:27:00,
2016-09-05 01:32:00,52.3,46.4,29.83,West,268,0.2,1.0,80,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 08:32:00,
2016-09-05 01:37:00,52.1,46.4,29.83,South,170,0.7,1.0,81,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 08:37:00,
2016-09-05 01:42:00,52.1,46.6,29.83,SSE,152,0.6,1.0,82,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 08:42:00,
2016-09-05 01:47:00,52.1,46.6,29.83,NW,321,0.2,1.0,81,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 08:47:00,
2016-09-05 01:52:00,51.9,46.3,29.83,NNW,347,0.4,0.8,81,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 08:52:00,
2016-09-05 01:57:00,51.8,46.3,29.83,WSW,253,0.4,0.8,82,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 08:57:00,
2016-09-05 02:02:00,51.6,46.1,29.83,North,351,0.2,0.8,82,0.00,,,0.00,3,WeatherBaga 2.4.4,2016-09-05 09:02:00,
