Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2016-02-01 00:03:00,47.8,29.6,29.99,NW,320,3.1,11.6,49,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 08:03:00,
2016-02-01 00:08:00,48.0,29.4,29.99,WNW,289,2.4,10.1,48,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 08:08:00,
2016-02-01 00:18:00,47.8,29.2,30.00,NNW,337,4.9,8.5,48,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 08:18:00,
2016-02-01 00:23:00,47.8,29.1,30.00,NNW,330,4.3,9.6,48,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 08:23:00,
2016-02-01 00:28:00,47.6,29.2,30.00,West,265,1.7,9.6,49,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 08:28:00,
2016-02-01 00:33:00,47.6,28.8,30.00,WNW,297,1.1,7.7,48,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 08:33:00,
2016-02-01 00:38:00,47.6,29.1,30.00,NNW,344,4.5,8.5,48,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 08:38:00,
2016-02-01 00:43:00,47.6,29.0,30.00,WSW,240,4.4,8.8,48,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 08:43:00,
2016-02-01 00:48:00,47.6,28.9,30.00,ESE,104,3.3,8.9,48,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 08:48:00,
2016-02-01 00:53:00,47.6,29.0,30.00,NW,312,1.6,10.3,48,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 08:53:00,
2016-02-01 00:58:00,47.6,28.8,30.00,NNW,336,2.8,10.3,48,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 08:58:00,
2016-02-01 01:03:00,47.6,28.6,30.00,NNW,342,3.2,10.2,48,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 09:03:00,
2016-02-01 01:08:00,47.8,28.7,30.01,WNW,282,4.3,11.0,47,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 09:08:00,
2016-02-01 01:13:00,47.6,28.4,30.01,WNW,282,3.0,11.0,47,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 09:13:00,
2016-02-01 01:18:00,47.4,28.2,30.02,ENE,64,2.5,9.2,47,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 09:18:00,
2016-02-01 01:23:00,47.4,28.1,30.02,NW,306,2.7,9.4,47,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 09:23:00,
2016-02-01 01:28:00,47.6,28.3,30.02,WNW,290,3.1,9.4,47,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 09:28:00,
2016-02-01 01:38:00,47.3,28.5,30.02,WNW,294,1.4,5.8,48,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 09:38:00,
2016-02-01 01:43:00,47.1,27.9,30.02,NW,311,3.2,9.8,47,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 09:43:00,
2016-02-01 01:48:00,47.3,27.8,30.02,North,349,2.6,11.7,47,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 09:48:00,
2016-02-01 01:53:00,47.3,27.4,30.03,WNW,287,3.4,11.7,46,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 09:53:00,
2016-02-01 01:58:00,47.3,27.2,30.03,West,275,2.8,9.9,45,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 09:58:00,
2016-02-01 02:03:00,47.3,27.3,30.03,WSW,258,4.5,8.3,46,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 10:03:00,
2016-02-01 02:08:00,47.1,27.3,30.03,WNW,286,4.6,9.1,46,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 10:08:00,
2016-02-01 02:13:00,47.1,27.7,30.03,North,350,2.2,9.1,47,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 10:13:00,
2016-02-01 02:18:00,46.9,27.6,30.03,NE,34,1.6,6.8,47,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 10:18:00,
2016-02-01 02:28:00,46.5,27.5,30.02,NNW,346,0.8,10.8,47,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 10:28:00,
2016-02-01 02:33:00,46.5,28.1,30.02,NE,42,3.2,10.8,48,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 10:33:00,
2016-02-01 02:38:00,46.4,28.1,30.02,NNE,18,1.1,4.8,49,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 10:38:00,
2016-02-01 02:43:00,46.2,28.4,30.02,NE,46,1.9,4.8,50,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 10:43:00,
2016-02-01 02:48:00,46.0,28.6,30.02,WNW,300,5.0,6.3,50,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 10:48:00,
2016-02-01 02:53:00,45.8,28.6,30.02,WSW,253,1.1,8.9,51,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 10:53:00,
2016-02-01 02:58:00,45.6,28.6,30.02,NNW,337,1.6,8.9,51,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 10:58:00,
2016-02-01 03:03:00,45.8,28.7,30.03,WSW,255,1.2,6.9,51,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 11:03:00,
2016-02-01 03:08:00,46.0,29.2,30.03,NE,49,1.3,6.9,52,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 11:08:00,
2016-02-01 03:13:00,45.8,28.9,30.03,WNW,303,1.5,7.5,52,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 11:13:00,
2016-02-01 03:18:00,45.8,29.4,30.04,WNW,298,4.2,15.0,52,0.00,,,0.00,1,WeatherBaga 2.4.4,2016-02-01 11:18:00,
