Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2015-01-12 00:04:00,44.0,41.7,30.17,NNW,347,0.2,1.8,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 08:04:00,
2015-01-12 00:09:00,43.8,41.5,30.17,NW,309,0.9,1.5,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 08:09:00,
2015-01-12 00:14:00,43.8,41.5,30.18,SE,145,0.6,1.4,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 08:14:00,
2015-01-12 00:19:00,43.8,41.6,30.18,NW,305,1.5,1.5,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 08:19:00,
2015-01-12 00:24:00,43.8,41.6,30.18,NNW,328,0.3,1.5,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 08:24:00,
2015-01-12 00:25:00,43.8,41.6,30.18,NW,320,0.8,1.5,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 08:25:00,
2015-01-12 00:30:00,43.8,41.6,30.19,NNE,23,0.2,2.0,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 08:30:00,
2015-01-12 00:35:00,43.8,41.6,30.18,SSW,197,0.5,2.0,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 08:35:00,
2015-01-12 00:40:00,43.7,41.5,30.19,NNW,340,0.2,1.4,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 08:40:00,
2015-01-12 00:45:00,43.5,41.2,30.19,SSW,213,0.8,1.4,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 08:45:00,
2015-01-12 00:50:00,43.5,41.3,30.19,ESE,123,0.7,1.3,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 08:50:00,
2015-01-12 00:55:00,43.3,41.1,30.19,NW,315,0.5,1.4,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 08:55:00,
2015-01-12 01:00:00,43.3,41.1,30.19,South,185,0.2,1.4,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 09:00:00,
2015-01-12 01:05:00,43.1,40.9,30.19,NNW,335,0.4,0.8,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 09:05:00,
2015-01-12 01:10:00,42.9,40.7,30.19,WNW,291,0.7,0.8,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 09:10:00,
2015-01-12 01:15:00,42.9,40.7,30.19,WSW,249,0.5,1.0,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 09:15:00,
2015-01-12 01:20:00,42.9,40.7,30.20,NNE,30,0.6,1.3,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 09:20:00,
2015-01-12 01:25:00,42.8,40.6,30.19,WNW,282,0.2,1.3,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 09:25:00,
2015-01-12 01:30:00,42.8,40.6,30.20,NW,326,0.9,1.1,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 09:30:00,
2015-01-12 01:35:00,42.6,40.4,30.20,SW,223,0.4,1.1,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 09:35:00,
2015-01-12 01:40:00,42.6,40.5,30.20,SSE,155,2.2,2.3,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 09:40:00,
2015-01-12 01:45:00,42.6,40.5,30.20,SE,135,0.8,2.3,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 09:45:00,
2015-01-12 01:50:00,42.4,40.3,30.20,NW,322,0.5,2.2,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 09:50:00,
2015-01-12 01:55:00,42.4,40.3,30.20,SSE,168,0.3,1.0,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 09:55:00,
2015-01-12 02:00:00,42.2,40.1,30.20,South,191,0.5,1.0,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 10:00:00,
2015-01-12 02:05:00,42.2,40.0,30.21,West,281,0.6,0.9,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 10:05:00,
2015-01-12 02:10:00,42.2,40.1,30.21,WNW,285,0.5,1.6,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 10:10:00,
2015-01-12 02:15:00,42.0,39.9,30.21,WSW,244,0.5,1.6,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 10:15:00,
2015-01-12 02:20:00,42.0,39.9,30.21,WNW,284,0.2,1.1,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 10:20:00,
2015-01-12 02:25:00,42.0,39.9,30.21,ESE,114,0.4,1.1,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 10:25:00,
2015-01-12 02:30:00,42.0,39.9,30.21,NNW,336,0.4,1.2,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 10:30:00,
2015-01-12 02:32:00,42.0,39.9,30.21,NW,312,0.4,1.2,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 10:32:00,
2015-01-12 02:37:00,42.0,40.0,30.21,NE,49,0.4,1.2,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 10:37:00,
2015-01-12 02:42:00,41.9,39.8,30.21,South,182,0.4,1.2,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 10:42:00,
2015-01-12 02:47:00,41.9,39.8,30.21,SE,135,1.1,1.7,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 10:47:00,
2015-01-12 02:50:00,41.9,39.8,30.21,SSE,147,0.3,1.7,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 10:50:00,
2015-01-12 02:55:00,41.7,39.6,30.21,ESE,120,0.2,1.7,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 10:55:00,
2015-01-12 03:00:00,41.5,39.4,30.21,WNW,283,1.9,2.1,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 11:00:00,
2015-01-12 03:05:00,41.7,39.7,30.21,NW,307,0.6,2.1,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 11:05:00,
2015-01-12 03:10:00,41.5,39.5,30.21,SW,217,0.6,2.0,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 11:10:00,
2015-01-12 03:15:00,41.7,39.7,30.21,West,277,0.9,1.3,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 11:15:00,
2015-01-12 03:20:00,41.7,39.7,30.21,West,278,0.8,1.3,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 11:20:00,
2015-01-12 03:25:00,41.7,39.7,30.21,SE,138,0.5,1.1,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 11:25:00,
2015-01-12 03:30:00,41.5,39.5,30.21,WNW,287,0.6,1.1,92,0.00,,,0.00,1,WeatherBaga 2.4.4,2015-01-12 11:30:00,
