Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2011-05-04 00:00:00,53.9,43.9,30.06,NW,306,0.6,0.8,69,0.00,,,0.00,2.329,WeatherBaga 2.4.3,2011-05-04 07:00:00,
2011-05-04 00:04:00,53.7,43.8,30.06,ESE,104,0.3,0.8,69,0.00,,,0.00,2.084,WeatherBaga 2.4.3,2011-05-04 07:04:00,
2011-05-04 00:05:00,53.7,44.1,30.06,SSW,204,0.6,0.8,70,0.00,,,0.00,2.646,WeatherBaga 2.4.3,2011-05-04 07:05:00,
2011-05-04 00:10:00,53.7,44.2,30.05,SW,231,0.4,1.3,70,0.00,,,0.00,2.520,WeatherBaga 2.4.3,2011-05-04 07:10:00,
2011-05-04 00:15:00,53.6,44.3,30.05,SW,225,0.9,1.5,71,0.00,,,0.00,2.345,WeatherBaga 2.4.3,2011-05-04 07:15:00,
2011-05-04 00:21:00,53.7,44.3,30.05,SE,145,0.6,1.5,70,0.00,,,0.00,2.081,WeatherBaga 2.4.3,2011-05-04 07:21:00,
2011-05-04 00:26:00,53.6,44.3,30.05,NE,37,0.8,1.4,71,0.00,,,0.00,1.797,WeatherBaga 2.4.3,2011-05-04 07:26:00,
2011-05-04 00:27:00,53.6,44.4,30.05,WNW,300,0.6,1.2,71,0.00,,,0.00,2.461,WeatherBaga 2.4.3,2011-05-04 07:27:00,
2011-05-04 00:28:00,53.4,44.3,30.05,NW,305,0.8,1.0,71,0.00,,,0.00,2.312,WeatherBaga 2.4.3,2011-05-04 07:28:00,
2011-05-04 00:33:00,53.2,44.3,30.05,WNW,293,1.1,1.2,72,0.00,,,0.00,2.332,WeatherBaga 2.4.3,2011-05-04 07:33:00,
2011-05-04 00:38:00,53.2,44.4,30.05,North,356,0.4,1.3,72,0.00,,,0.00,2.071,WeatherBaga 2.4.3,2011-05-04 07:38:00,
2011-05-04 00:43:00,53.2,44.5,30.05,South,186,0.8,1.3,72,0.00,,,0.00,1.675,WeatherBaga 2.4.3,2011-05-04 07:43:00,
2011-05-04 00:44:00,53.2,44.6,30.05,SE,145,0.8,1.3,72,0.00,,,0.00,2.768,WeatherBaga 2.4.3,2011-05-04 07:44:00,
2011-05-04 00:49:00,53.0,44.4,30.05,WNW,299,0.7,1.3,73,0.00,,,0.00,2.378,WeatherBaga 2.4.3,2011-05-04 07:49:00,
2011-05-04 00:54:00,52.8,44.4,30.05,NW,319,0.4,1.1,73,0.00,,,0.00,2.068,WeatherBaga 2.4.3,2011-05-04 07:54:00,
2011-05-04 00:56:00,52.8,44.6,30.05,NE,50,0.6,1.1,74,0.00,,,0.00,2.167,WeatherBaga 2.4.3,2011-05-04 07:56:00,
2011-05-04 00:59:00,52.8,44.6,30.05,SW,230,0.6,1.3,74,0.00,,,0.00,1.834,WeatherBaga 2.4.3,2011-05-04 07:59:00,
2011-05-04 01:04:00,52.7,44.6,30.05,South,189,0.6,1.3,74,0.00,,,0.00,2.375,WeatherBaga 2.4.3,2011-05-04 08:04:00,
2011-05-04 01:05:00,52.7,44.6,30.05,SSW,210,0.7,1.3,74,0.00,,,0.00,2.352,WeatherBaga 2.4.3,2011-05-04 08:05:00,
2011-05-04 01:09:00,52.5,44.4,30.05,NNW,346,0.4,1.3,74,0.00,,,0.00,1.464,WeatherBaga 2.4.3,2011-05-04 08:09:00,
2011-05-04 01:14:00,52.3,44.4,30.05,NW,312,0.4,1.2,74,0.00,,,0.00,2.236,WeatherBaga 2.4.3,2011-05-04 08:14:00,
2011-05-04 01:19:00,52.3,44.6,30.05,SSW,210,0.9,1.2,75,0.00,,,0.00,1.797,WeatherBaga 2.4.3,2011-05-04 08:19:00,
2011-05-04 01:24:00,52.1,44.4,30.05,SSE,154,0.4,1.2,75,0.00,,,0.00,2.114,WeatherBaga 2.4.3,2011-05-04 08:24:00,
2011-05-04 01:29:00,51.9,44.2,30.04,NW,310,0.4,1.1,75,0.00,,,0.00,2.243,WeatherBaga 2.4.3,2011-05-04 08:29:00,
2011-05-04 01:31:00,51.9,44.2,30.04,WSW,248,0.5,0.9,75,0.00,,,0.00,2.134,WeatherBaga 2.4.3,2011-05-04 08:31:00,
2011-05-04 01:34:00,51.8,44.2,30.04,WNW,286,0.9,1.0,75,0.00,,,0.00,1.883,WeatherBaga 2.4.3,2011-05-04 08:34:00,
2011-05-04 01:35:00,51.8,44.2,30.04,West,276,0.6,1.0,75,0.00,,,0.00,1.580,WeatherBaga 2.4.3,2011-05-04 08:35:00,
2011-05-04 01:36:00,51.8,44.1,30.04,SW,214,0.4,1.0,75,0.00,,,0.00,2.210,WeatherBaga 2.4.3,2011-05-04 08:36:00,
