Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2009-07-25 00:01:00,58.2,53.1,29.99,South,173,0.3,3.9,83,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 07:01:00,
2009-07-25 00:06:00,58.4,53.3,29.99,South,169,2.7,3.7,83,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 07:06:00,
2009-07-25 00:11:00,58.2,53.1,29.99,SSE,159,2.1,4.3,83,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 07:11:00,
2009-07-25 00:16:00,58.2,53.1,29.99,South,173,0.8,4.3,83,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 07:16:00,
2009-07-25 00:26:00,58.4,53.3,29.99,SSE,166,1.1,3.4,83,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 07:26:00,
2009-07-25 00:36:00,58.6,53.3,29.99,SE,138,0.9,1.6,83,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 07:36:00,
2009-07-25 00:41:00,58.6,53.1,29.99,South,181,1.2,3.7,82,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 07:41:00,
2009-07-25 00:46:00,58.8,53.3,29.99,NW,326,1.2,3.7,82,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 07:46:00,
2009-07-25 00:51:00,58.8,52.6,29.99,East,85,0.8,1.5,80,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 07:51:00,
2009-07-25 00:56:00,58.6,52.2,29.99,North,0,1.4,2.1,79,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 07:56:00,
2009-07-25 01:01:00,58.6,52.0,29.99,WSW,239,0.5,2.4,79,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 08:01:00,
2009-07-25 01:06:00,58.4,51.4,29.99,WSW,250,0.2,2.6,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 08:06:00,
2009-07-25 01:11:00,58.4,51.3,29.99,NW,314,2.2,2.6,77,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 08:11:00,
2009-07-25 01:26:00,58.2,51.1,29.99,WNW,299,1.6,3.4,77,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 08:26:00,
2009-07-25 01:31:00,58.1,51.1,29.99,NW,321,1.6,3.4,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 08:31:00,
2009-07-25 01:41:00,57.9,51.0,29.99,NNW,329,1.2,3.7,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 08:41:00,
2009-07-25 01:46:00,57.9,51.0,29.99,NNE,18,0.4,3.1,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 08:46:00,
2009-07-25 01:51:00,57.9,51.0,29.99,West,276,0.2,2.2,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 08:51:00,
2009-07-25 01:56:00,57.9,51.0,29.99,NNE,27,0.8,2.2,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 08:56:00,
2009-07-25 02:01:00,57.9,51.2,29.99,SW,223,0.4,2.8,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 09:01:00,
2009-07-25 02:11:00,57.5,51.3,29.99,North,355,0.9,4.8,80,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 09:11:00,
2009-07-25 02:16:00,57.5,51.4,29.99,NE,56,1.6,4.8,80,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 09:16:00,
2009-07-25 02:21:00,57.5,51.4,29.99,NW,323,2.3,2.9,80,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 09:21:00,
2009-07-25 02:26:00,57.5,51.4,29.99,WNW,302,2.6,3.0,80,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 09:26:00,
2009-07-25 02:31:00,57.3,51.2,29.99,NNW,338,2.6,3.9,80,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 09:31:00,
2009-07-25 02:36:00,57.3,51.2,29.99,North,352,2.5,3.9,80,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 09:36:00,
2009-07-25 02:41:00,57.3,51.2,29.99,NNW,330,1.8,3.9,80,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 09:41:00,
2009-07-25 02:46:00,57.5,51.3,29.99,WNW,302,1.2,3.9,80,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 09:46:00,
2009-07-25 02:51:00,57.5,51.1,29.99,WNW,302,1.9,3.6,79,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 09:51:00,
2009-07-25 02:56:00,57.5,51.1,29.99,WNW,284,1.1,3.6,79,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 09:56:00,
2009-07-25 03:01:00,57.7,51.1,29.99,WSW,252,1.7,2.4,79,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 10:01:00,
2009-07-25 03:06:00,57.5,50.7,29.99,SW,217,0.9,3.3,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 10:06:00,
2009-07-25 03:11:00,57.5,50.7,29.99,West,263,0.6,3.3,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 10:11:00,
2009-07-25 03:16:00,57.5,50.5,29.99,NW,322,0.6,3.2,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 10:16:00,
2009-07-25 03:21:00,57.5,50.6,29.99,North,350,0.7,3.2,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 10:21:00,
2009-07-25 03:26:00,57.3,50.4,29.99,South,188,0.9,2.9,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 10:26:00,
2009-07-25 03:31:00,57.3,50.4,29.99,NW,310,1.0,2.9,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 10:31:00,
2009-07-25 03:36:00,57.3,50.4,29.99,SSW,200,1.3,2.4,78,-99.99,,,0.00,WeatherBaga 1.0,2009-07-25 10:36:00,
