Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2009-11-22 00:00:00,39.9,38.1,30.15,West,261,1.4,2.3,93,0.00,,,0.00,10.982,WeatherBaga 2.2,2009-11-22 08:00:00,
2009-11-22 00:05:00,39.7,37.9,30.15,West,271,0.5,1.9,93,0.00,,,0.00,10.906,WeatherBaga 2.2,2009-11-22 08:05:00,
2009-11-22 00:10:00,39.7,37.9,30.15,South,170,0.2,1.9,93,0.00,,,0.00,10.877,WeatherBaga 2.2,2009-11-22 08:10:00,
2009-11-22 00:15:00,39.5,37.8,30.15,WSW,245,1.3,1.5,93,0.00,,,0.00,10.992,WeatherBaga 2.2,2009-11-22 08:15:00,
2009-11-22 00:20:00,39.3,37.7,30.15,SSW,207,0.3,1.5,94,0.00,,,0.00,10.920,WeatherBaga 2.2,2009-11-22 08:20:00,
2009-11-22 00:25:00,39.3,37.7,30.14,South,174,0.4,1.5,94,0.00,,,0.00,11.029,WeatherBaga 2.2,2009-11-22 08:25:00,
2009-11-22 00:30:00,39.2,37.6,30.15,WNW,295,0.8,1.5,94,0.00,,,0.00,10.877,WeatherBaga 2.2,2009-11-22 08:30:00,
2009-11-22 00:35:00,39.2,37.7,30.15,WNW,286,0.7,1.7,94,0.00,,,0.00,11.019,WeatherBaga 2.2,2009-11-22 08:35:00,
2009-11-22 00:40:00,39.0,37.5,30.15,SSW,202,0.7,1.7,94,0.00,,,0.00,11.048,WeatherBaga 2.2,2009-11-22 08:40:00,
2009-11-22 00:45:00,39.0,37.6,30.15,SE,143,1.3,1.4,94,0.00,,,0.00,10.910,WeatherBaga 2.2,2009-11-22 08:45:00,
2009-11-22 00:50:00,39.2,37.8,30.15,SE,139,0.8,1.8,94,0.00,,,0.00,11.025,WeatherBaga 2.2,2009-11-22 08:50:00,
2009-11-22 00:55:00,39.0,37.5,30.15,South,174,0.9,1.8,94,0.00,,,0.00,10.890,WeatherBaga 2.2,2009-11-22 08:55:00,
2009-11-22 01:00:00,39.0,37.5,30.15,West,262,0.6,1.3,94,0.00,,,0.00,11.029,WeatherBaga 2.2,2009-11-22 09:00:00,
2009-11-22 01:05:00,39.0,37.5,30.14,SSE,160,1.1,1.4,94,0.00,,,0.00,11.075,WeatherBaga 2.2,2009-11-22 09:05:00,
2009-11-22 01:10:00,38.8,37.2,30.14,SW,214,1.0,1.4,94,0.00,,,0.00,11.025,WeatherBaga 2.2,2009-11-22 09:10:00,
2009-11-22 01:15:00,38.6,37.1,30.14,West,279,0.7,1.4,94,0.00,,,0.00,11.052,WeatherBaga 2.2,2009-11-22 09:15:00,
2009-11-22 01:20:00,38.6,37.2,30.14,South,186,0.3,1.3,94,0.00,,,0.00,10.906,WeatherBaga 2.2,2009-11-22 09:20:00,
2009-11-22 01:25:00,38.4,37.0,30.14,SSW,193,0.4,1.0,95,0.00,,,0.00,10.949,WeatherBaga 2.2,2009-11-22 09:25:00,
2009-11-22 01:30:00,38.4,37.1,30.14,WNW,298,0.4,1.4,95,0.00,,,0.00,10.742,WeatherBaga 2.2,2009-11-22 09:30:00,
2009-11-22 01:35:00,38.4,37.1,30.15,WNW,282,0.8,1.5,95,0.00,,,0.00,10.666,WeatherBaga 2.2,2009-11-22 09:35:00,
2009-11-22 01:40:00,38.3,37.0,30.15,WNW,294,0.5,1.5,95,0.00,,,0.00,10.583,WeatherBaga 2.2,2009-11-22 09:40:00,
2009-11-22 01:45:00,38.4,37.1,30.15,SW,214,0.6,1.5,95,0.00,,,0.00,10.900,WeatherBaga 2.2,2009-11-22 09:45:00,
2009-11-22 01:50:00,38.4,37.1,30.15,NNW,337,0.4,1.5,95,0.00,,,0.00,10.916,WeatherBaga 2.2,2009-11-22 09:50:00,
2009-11-22 01:55:00,38.8,37.6,30.15,North,8,0.6,1.1,95,0.00,,,0.00,10.827,WeatherBaga 2.2,2009-11-22 09:55:00,
2009-11-22 02:00:00,39.2,37.7,30.15,SSE,168,1.2,1.7,94,0.00,,,0.00,10.936,WeatherBaga 2.2,2009-11-22 10:00:00,
2009-11-22 02:05:00,39.3,37.6,30.14,SE,132,0.6,1.7,94,0.00,,,0.00,10.989,WeatherBaga 2.2,2009-11-22 10:05:00,
2009-11-22 02:10:00,39.7,37.8,30.14,SSE,157,1.0,1.4,93,0.00,,,0.00,10.996,WeatherBaga 2.2,2009-11-22 10:10:00,
2009-11-22 02:15:00,40.1,38.1,30.14,SW,230,0.1,1.6,92,0.00,,,0.00,11.065,WeatherBaga 2.2,2009-11-22 10:15:00,
2009-11-22 02:20:00,40.2,38.1,30.14,WNW,283,0.4,1.6,92,0.00,,,0.00,11.058,WeatherBaga 2.2,2009-11-22 10:20:00,
2009-11-22 02:25:00,40.4,38.4,30.14,NNW,331,0.5,1.2,93,0.00,,,0.00,10.986,WeatherBaga 2.2,2009-11-22 10:25:00,
2009-11-22 02:30:00,40.8,38.6,30.14,South,182,0.9,1.3,92,0.00,,,0.00,11.062,WeatherBaga 2.2,2009-11-22 10:30:00,
2009-11-22 02:35:00,41.0,38.5,30.14,SW,234,0.9,1.4,91,0.00,,,0.00,11.134,WeatherBaga 2.2,2009-11-22 10:35:00,
2009-11-22 02:40:00,41.1,38.6,30.14,NNE,14,0.8,1.4,91,0.00,,,0.00,10.989,WeatherBaga 2.2,2009-11-22 10:40:00,
2009-11-22 02:45:00,41.5,39.0,30.14,NNW,328,0.3,1.4,91,0.00,,,0.00,11.035,WeatherBaga 2.2,2009-11-22 10:45:00,
2009-11-22 02:50:00,41.7,39.0,30.14,ENE,64,0.7,1.2,90,0.00,,,0.00,11.012,WeatherBaga 2.2,2009-11-22 10:50:00,
2009-11-22 02:55:00,41.9,39.0,30.14,SSE,151,0.5,1.1,90,0.00,,,0.00,11.118,WeatherBaga 2.2,2009-11-22 10:55:00,
2009-11-22 03:00:00,41.9,39.3,30.14,SW,229,0.1,1.1,90,0.00,,,0.00,11.098,WeatherBaga 2.2,2009-11-22 11:00:00,
2009-11-22 03:05:00,41.7,39.1,30.14,NE,52,0.4,1.0,90,0.00,,,0.00,11.134,WeatherBaga 2.2,2009-11-22 11:05:00,
2009-11-22 03:10:00,41.9,39.2,30.14,South,184,0.5,1.3,90,0.00,,,0.00,10.999,WeatherBaga 2.2,2009-11-22 11:10:00,
2009-11-22 03:15:00,41.9,39.1,30.13,SE,143,0.7,1.4,90,0.00,,,0.00,11.019,WeatherBaga 2.2,2009-11-22 11:15:00,
2009-11-22 03:20:00,42.0,39.0,30.13,SW,217,0.6,1.7,89,0.00,,,0.00,11.065,WeatherBaga 2.2,2009-11-22 11:20:00,
