Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2009-09-11 00:01:00,62.0,55.7,29.98,South,191,0.7,1.4,80,-99.99,,,0.00,10.817,WeatherBaga 2.0,2009-09-11 07:01:00,
2009-09-11 00:06:00,61.8,55.5,29.98,SW,223,0.4,1.4,80,-99.99,,,0.00,10.850,WeatherBaga 2.0,2009-09-11 07:06:00,
2009-09-11 00:11:00,61.8,55.6,29.98,West,275,0.6,1.0,80,-99.99,,,0.00,10.913,WeatherBaga 2.0,2009-09-11 07:11:00,
2009-09-11 00:16:00,61.7,55.6,29.98,NW,306,0.3,1.0,80,-99.99,,,0.00,10.956,WeatherBaga 2.0,2009-09-11 07:16:00,
2009-09-11 00:21:00,61.5,55.5,29.98,NNW,348,0.2,1.0,81,-99.99,,,0.00,10.689,WeatherBaga 2.0,2009-09-11 07:21:00,
2009-09-11 00:26:00,61.5,55.6,29.98,SW,220,0.3,1.0,81,-99.99,,,0.00,10.920,WeatherBaga 2.0,2009-09-11 07:26:00,
2009-09-11 00:31:00,61.3,55.5,29.98,SW,230,0.3,1.0,81,-99.99,,,0.00,10.860,WeatherBaga 2.0,2009-09-11 07:31:00,
2009-09-11 00:36:00,61.3,55.6,29.99,NW,305,0.5,1.2,82,-99.99,,,0.00,10.864,WeatherBaga 2.0,2009-09-11 07:36:00,
2009-09-11 00:41:00,61.1,55.6,29.99,WSW,255,0.2,1.2,82,-99.99,,,0.00,10.953,WeatherBaga 2.0,2009-09-11 07:41:00,
2009-09-11 00:46:00,60.9,55.6,29.98,WNW,290,0.7,1.0,83,-99.99,,,0.00,10.873,WeatherBaga 2.0,2009-09-11 07:46:00,
2009-09-11 00:51:00,60.9,55.6,29.98,West,264,0.6,1.1,83,-99.99,,,0.00,10.926,WeatherBaga 2.0,2009-09-11 07:51:00,
2009-09-11 00:56:00,60.8,55.6,29.98,NW,305,0.8,1.1,83,-99.99,,,0.00,10.887,WeatherBaga 2.0,2009-09-11 07:56:00,
2009-09-11 01:01:00,60.8,55.7,29.98,NNW,341,0.6,0.9,83,-99.99,,,0.00,11.005,WeatherBaga 2.0,2009-09-11 08:01:00,
2009-09-11 01:06:00,60.8,55.6,29.98,West,265,0.8,0.9,83,-99.99,,,0.00,10.940,WeatherBaga 2.0,2009-09-11 08:06:00,
2009-09-11 01:11:00,60.8,55.7,29.98,West,268,0.6,1.3,83,-99.99,,,0.00,10.956,WeatherBaga 2.0,2009-09-11 08:11:00,
2009-09-11 01:16:00,60.6,55.4,29.98,WNW,285,0.7,1.3,83,-99.99,,,0.00,10.857,WeatherBaga 2.0,2009-09-11 08:16:00,
2009-09-11 01:21:00,60.6,55.4,29.98,SSW,210,0.3,1.2,83,-99.99,,,0.00,10.910,WeatherBaga 2.0,2009-09-11 08:21:00,
2009-09-11 01:26:00,60.4,55.4,29.97,WNW,282,0.4,1.2,84,-99.99,,,0.00,11.029,WeatherBaga 2.0,2009-09-11 08:26:00,
2009-09-11 01:31:00,60.2,55.1,29.97,West,272,0.7,1.0,83,-99.99,,,0.00,11.005,WeatherBaga 2.0,2009-09-11 08:31:00,
2009-09-11 01:36:00,60.2,55.0,29.97,WNW,297,0.8,1.2,83,-99.99,,,0.00,10.982,WeatherBaga 2.0,2009-09-11 08:36:00,
2009-09-11 01:41:00,60.2,55.0,29.97,WNW,284,0.6,1.2,83,-99.99,,,0.00,10.943,WeatherBaga 2.0,2009-09-11 08:41:00,
2009-09-11 01:46:00,60.2,54.9,29.97,West,277,1.1,1.2,83,-99.99,,,0.00,10.844,WeatherBaga 2.0,2009-09-11 08:46:00,
2009-09-11 01:51:00,60.2,54.6,29.97,West,273,0.6,1.3,82,-99.99,,,0.00,10.963,WeatherBaga 2.0,2009-09-11 08:51:00,
2009-09-11 01:56:00,60.2,55.1,29.97,North,353,0.5,1.3,83,-99.99,,,0.00,10.976,WeatherBaga 2.0,2009-09-11 08:56:00,
2009-09-11 02:01:00,60.0,54.9,29.97,ENE,64,0.5,0.9,83,-99.99,,,0.00,10.854,WeatherBaga 2.0,2009-09-11 09:01:00,
2009-09-11 02:06:00,59.9,54.9,29.97,SSW,212,0.9,1.2,84,-99.99,,,0.00,10.936,WeatherBaga 2.0,2009-09-11 09:06:00,
2009-09-11 02:11:00,59.9,54.8,29.97,SW,217,0.6,1.3,83,-99.99,,,0.00,10.910,WeatherBaga 2.0,2009-09-11 09:11:00,
2009-09-11 02:16:00,59.7,54.6,29.97,North,0,0.5,1.7,83,-99.99,,,0.00,10.705,WeatherBaga 2.0,2009-09-11 09:16:00,
2009-09-11 02:21:00,59.7,54.8,29.97,NW,316,1.0,1.7,84,-99.99,,,0.00,10.916,WeatherBaga 2.0,2009-09-11 09:21:00,
2009-09-11 02:26:00,59.5,54.9,29.97,SE,141,1.0,1.4,85,-99.99,,,0.00,10.982,WeatherBaga 2.0,2009-09-11 09:26:00,
2009-09-11 02:31:00,59.5,54.4,29.97,NW,322,1.1,1.5,83,-99.99,,,0.00,10.963,WeatherBaga 2.0,2009-09-11 09:31:00,
2009-09-11 02:36:00,59.5,54.6,29.97,NE,54,0.4,1.6,84,-99.99,,,0.00,10.923,WeatherBaga 2.0,2009-09-11 09:36:00,
2009-09-11 02:41:00,59.3,54.3,29.96,SSW,197,0.8,1.6,84,-99.99,,,0.00,10.999,WeatherBaga 2.0,2009-09-11 09:41:00,
2009-09-11 02:46:00,59.3,54.2,29.97,SSE,164,1.1,1.4,83,-99.99,,,0.00,10.949,WeatherBaga 2.0,2009-09-11 09:46:00,
2009-09-11 02:51:00,59.1,54.0,29.97,ESE,119,0.4,1.7,83,-99.99,,,0.00,10.870,WeatherBaga 2.0,2009-09-11 09:51:00,
2009-09-11 02:56:00,59.0,54.0,29.97,East,84,0.3,1.7,83,-99.99,,,0.00,10.979,WeatherBaga 2.0,2009-09-11 09:56:00,
2009-09-11 03:01:00,58.8,53.8,29.96,WNW,295,1.1,1.2,83,-99.99,,,0.00,10.946,WeatherBaga 2.0,2009-09-11 10:01:00,
2009-09-11 03:06:00,58.6,53.7,29.96,SSE,163,0.9,1.2,84,-99.99,,,0.00,10.949,WeatherBaga 2.0,2009-09-11 10:06:00,
2009-09-11 03:11:00,58.4,53.3,29.96,WSW,244,0.4,1.3,83,-99.99,,,0.00,11.022,WeatherBaga 2.0,2009-09-11 10:11:00,
2009-09-11 03:16:00,58.4,53.4,29.96,SW,221,0.4,1.3,84,-99.99,,,0.00,11.012,WeatherBaga 2.0,2009-09-11 10:16:00,
2009-09-11 03:21:00,58.2,53.0,29.96,SSW,206,0.7,1.0,83,-99.99,,,0.00,10.857,WeatherBaga 2.0,2009-09-11 10:21:00,
2009-09-11 03:26:00,58.2,53.1,29.96,WSW,253,0.4,0.9,83,-99.99,,,0.00,10.973,WeatherBaga 2.0,2009-09-11 10:26:00,
2009-09-11 03:31:00,58.1,53.0,29.96,SSW,200,1.2,1.3,83,-99.99,,,0.00,10.890,WeatherBaga 2.0,2009-09-11 10:31:00,
2009-09-11 03:36:00,57.9,52.4,29.96,North,357,0.5,1.3,82,-99.99,,,0.00,10.913,WeatherBaga 2.0,2009-09-11 10:36:00,
2009-09-11 03:41:00,57.9,52.8,29.96,West,275,1.0,1.2,83,-99.99,,,0.00,10.966,WeatherBaga 2.0,2009-09-11 10:41:00,
2009-09-11 03:46:00,57.9,52.5,29.96,SW,218,0.5,1.8,82,-99.99,,,0.00,10.936,WeatherBaga 2.0,2009-09-11 10:46:00,
2009-09-11 03:51:00,57.7,52.4,29.95,West,269,1.0,1.8,83,-99.99,,,0.00,10.771,WeatherBaga 2.0,2009-09-11 10:51:00,
2009-09-11 03:56:00,57.5,52.0,29.95,NNW,328,0.5,1.2,82,-99.99,,,0.00,10.910,WeatherBaga 2.0,2009-09-11 10:56:00,
2009-09-11 04:01:00,57.3,51.9,29.95,West,277,0.5,1.2,82,-99.99,,,0.00,10.949,WeatherBaga 2.0,2009-09-11 11:01:00,
2009-09-11 04:06:00,57.3,51.8,29.95,NNE,29,1.6,1.9,82,-99.99,,,0.00,10.814,WeatherBaga 2.0,2009-09-11 11:06:00,
2009-09-11 04:11:00,57.3,51.8,29.95,SE,134,0.2,1.9,82,-99.99,,,0.00,10.949,WeatherBaga 2.0,2009-09-11 11:11:00,
2009-09-11 04:16:00,57.3,52.2,29.96,NE,55,1.1,1.9,83,-99.99,,,0.00,10.940,WeatherBaga 2.0,2009-09-11 11:16:00,
2009-09-11 04:21:00,57.2,52.2,29.95,WNW,286,0.7,1.8,83,-99.99,,,0.00,10.936,WeatherBaga 2.0,2009-09-11 11:21:00,
2009-09-11 04:26:00,57.0,51.7,29.95,NE,42,0.5,1.3,83,-99.99,,,0.00,10.946,WeatherBaga 2.0,2009-09-11 11:26:00,
2009-09-11 04:31:00,57.0,52.2,29.95,WSW,256,0.9,1.1,84,-99.99,,,0.00,10.940,WeatherBaga 2.0,2009-09-11 11:31:00,
2009-09-11 04:36:00,56.8,52.0,29.95,West,263,0.5,1.2,84,-99.99,,,0.00,10.973,WeatherBaga 2.0,2009-09-11 11:36:00,
2009-09-11 04:41:00,56.8,51.8,29.95,WNW,282,1.5,1.7,83,-99.99,,,0.00,10.854,WeatherBaga 2.0,2009-09-11 11:41:00,
2009-09-11 04:46:00,56.6,51.8,29.95,South,183,1.0,1.7,84,-99.99,,,0.00,10.573,WeatherBaga 2.0,2009-09-11 11:46:00,
2009-09-11 04:51:00,56.6,51.5,29.95,West,279,0.3,1.5,83,-99.99,,,0.00,10.999,WeatherBaga 2.0,2009-09-11 11:51:00,
2009-09-11 04:56:00,56.4,51.3,29.95,West,271,0.2,1.4,83,-99.99,,,0.00,11.015,WeatherBaga 2.0,2009-09-11 11:56:00,
2009-09-11 05:01:00,56.1,51.4,29.95,SSW,206,0.2,1.0,84,-99.99,,,0.00,10.811,WeatherBaga 2.0,2009-09-11 12:01:00,
2009-09-11 05:06:00,55.9,51.2,29.95,West,271,0.5,0.9,84,-99.99,,,0.00,10.936,WeatherBaga 2.0,2009-09-11 12:06:00,
2009-09-11 05:11:00,55.9,51.7,29.95,NNE,14,1.0,1.2,86,-99.99,,,0.00,10.946,WeatherBaga 2.0,2009-09-11 12:11:00,
2009-09-11 05:16:00,55.9,51.2,29.95,SSW,208,0.9,1.2,84,-99.99,,,0.00,10.940,WeatherBaga 2.0,2009-09-11 12:16:00,
2009-09-11 05:21:00,55.9,51.4,29.95,NE,34,0.8,1.2,85,-99.99,,,0.00,10.956,WeatherBaga 2.0,2009-09-11 12:21:00,
2009-09-11 05:26:00,55.9,51.5,29.95,South,176,0.7,1.2,85,-99.99,,,0.00,10.682,WeatherBaga 2.0,2009-09-11 12:26:00,
2009-09-11 05:31:00,55.7,51.2,29.95,SSW,203,0.6,1.2,85,-99.99,,,0.00,10.834,WeatherBaga 2.0,2009-09-11 12:31:00,
2009-09-11 05:36:00,55.7,51.1,29.95,SW,219,0.9,1.6,85,-99.99,,,0.00,10.616,WeatherBaga 2.0,2009-09-11 12:36:00,
2009-09-11 05:41:00,55.7,51.2,29.95,SSW,206,0.9,1.7,85,-99.99,,,0.00,10.956,WeatherBaga 2.0,2009-09-11 12:41:00,
2009-09-11 05:46:00,55.5,51.1,29.95,SSW,211,0.6,1.7,85,-99.99,,,0.00,10.692,WeatherBaga 2.0,2009-09-11 12:46:00,
2009-09-11 05:51:00,55.5,51.3,29.95,NNE,14,1.0,1.1,86,-99.99,,,0.00,10.982,WeatherBaga 2.0,2009-09-11 12:51:00,
2009-09-11 05:56:00,55.4,51.3,29.95,SSW,195,0.4,1.2,86,-99.99,,,0.00,10.992,WeatherBaga 2.0,2009-09-11 12:56:00,
2009-09-11 06:01:00,55.4,51.3,29.95,SW,226,0.5,1.2,86,-99.99,,,0.00,11.005,WeatherBaga 2.0,2009-09-11 13:01:00,
2009-09-11 06:06:00,55.4,51.1,29.95,SSW,208,0.4,1.2,86,-99.99,,,0.00,11.002,WeatherBaga 2.0,2009-09-11 13:06:00,
2009-09-11 06:11:00,55.2,50.8,29.95,West,274,0.8,1.1,85,-99.99,,,0.00,10.982,WeatherBaga 2.0,2009-09-11 13:11:00,
2009-09-11 06:16:00,55.0,50.8,29.95,West,268,0.3,1.0,86,-99.99,,,0.00,10.659,WeatherBaga 2.0,2009-09-11 13:16:00,
2009-09-11 06:21:00,55.0,50.8,29.95,SSE,161,1.5,1.9,86,-99.99,,,0.00,10.946,WeatherBaga 2.0,2009-09-11 13:21:00,
2009-09-11 06:26:00,55.0,50.3,29.95,WNW,291,0.6,1.9,84,-99.99,,,0.00,11.025,WeatherBaga 2.0,2009-09-11 13:26:00,
2009-09-11 06:31:00,55.2,50.8,29.95,West,281,1.1,1.8,85,-99.99,,,0.00,11.230,WeatherBaga 2.0,2009-09-11 13:31:00,
2009-09-11 06:36:00,55.0,50.5,29.95,SE,139,0.7,1.8,85,-99.99,,,0.00,11.916,WeatherBaga 2.0,2009-09-11 13:36:00,
2009-09-11 06:41:00,55.0,50.6,29.95,NW,318,1.1,1.9,85,-99.99,,,0.00,12.820,WeatherBaga 2.0,2009-09-11 13:41:00,
2009-09-11 06:46:00,55.0,50.5,29.95,NW,311,0.3,1.9,85,-99.99,,,0.00,14.550,WeatherBaga 2.0,2009-09-11 13:46:00,
2009-09-11 06:51:00,55.0,50.6,29.95,SSW,210,0.4,1.5,85,-99.99,,,0.00,16.751,WeatherBaga 2.0,2009-09-11 13:51:00,
