Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2009-11-25 00:00:00,43.3,39.7,30.14,NW,309,1.0,1.6,87,0.00,,,0.00,10.916,WeatherBaga 2.2,2009-11-25 08:00:00,
2009-11-25 00:05:00,43.3,39.8,30.14,SSW,207,0.7,1.6,88,0.00,,,0.00,10.959,WeatherBaga 2.2,2009-11-25 08:05:00,
2009-11-25 00:10:00,43.3,39.8,30.14,NNW,336,0.2,1.1,87,0.00,,,0.00,11.022,WeatherBaga 2.2,2009-11-25 08:10:00,
2009-11-25 00:15:00,43.1,39.7,30.14,East,101,0.3,1.0,88,0.00,,,0.00,10.999,WeatherBaga 2.2,2009-11-25 08:15:00,
2009-11-25 00:20:00,42.9,39.6,30.14,South,183,0.7,1.3,88,0.00,,,0.00,11.045,WeatherBaga 2.2,2009-11-25 08:20:00,
2009-11-25 00:25:00,42.8,39.7,30.14,South,180,0.7,1.3,89,0.00,,,0.00,11.065,WeatherBaga 2.2,2009-11-25 08:25:00,
2009-11-25 00:30:00,42.6,39.5,30.14,NNW,348,0.4,1.6,89,0.00,,,0.00,10.956,WeatherBaga 2.2,2009-11-25 08:30:00,
2009-11-25 00:35:00,42.6,39.7,30.14,East,98,1.0,1.6,89,0.00,,,0.00,11.048,WeatherBaga 2.2,2009-11-25 08:35:00,
2009-11-25 00:40:00,42.6,39.6,30.14,East,83,1.3,1.3,89,0.00,,,0.00,11.045,WeatherBaga 2.2,2009-11-25 08:40:00,
2009-11-25 00:45:00,42.6,39.7,30.13,East,92,0.4,1.9,90,0.00,,,0.00,11.048,WeatherBaga 2.2,2009-11-25 08:45:00,
2009-11-25 00:50:00,42.4,39.6,30.13,South,173,0.8,1.9,90,0.00,,,0.00,11.055,WeatherBaga 2.2,2009-11-25 08:50:00,
2009-11-25 00:55:00,42.2,39.4,30.13,West,273,1.1,1.4,90,0.00,,,0.00,11.019,WeatherBaga 2.2,2009-11-25 08:55:00,
2009-11-25 01:00:00,42.2,39.4,30.13,NE,48,0.6,2.1,90,0.00,,,0.00,10.831,WeatherBaga 2.2,2009-11-25 09:00:00,
2009-11-25 01:05:00,42.4,39.6,30.13,WNW,298,0.7,2.1,90,0.00,,,0.00,10.910,WeatherBaga 2.2,2009-11-25 09:05:00,
2009-11-25 01:10:00,42.2,39.4,30.13,WSW,240,0.7,1.6,90,0.00,,,0.00,10.913,WeatherBaga 2.2,2009-11-25 09:10:00,
2009-11-25 01:15:00,42.2,39.4,30.13,NNW,331,0.2,1.4,90,0.00,,,0.00,10.989,WeatherBaga 2.2,2009-11-25 09:15:00,
2009-11-25 01:20:00,42.0,39.2,30.13,West,275,0.5,1.4,90,0.00,,,0.00,10.841,WeatherBaga 2.2,2009-11-25 09:20:00,
2009-11-25 01:25:00,42.0,39.2,30.13,WNW,303,0.8,1.4,90,0.00,,,0.00,10.996,WeatherBaga 2.2,2009-11-25 09:25:00,
2009-11-25 01:30:00,42.0,39.2,30.13,WNW,301,0.9,1.4,90,0.00,,,0.00,10.685,WeatherBaga 2.2,2009-11-25 09:30:00,
2009-11-25 01:35:00,42.0,39.2,30.13,WNW,283,1.1,1.5,90,0.00,,,0.00,10.930,WeatherBaga 2.2,2009-11-25 09:35:00,
2009-11-25 01:40:00,42.2,39.3,30.13,WNW,282,1.3,1.8,90,0.00,,,0.00,10.969,WeatherBaga 2.2,2009-11-25 09:40:00,
2009-11-25 01:45:00,42.2,39.2,30.13,SE,131,0.5,1.8,89,0.00,,,0.00,10.864,WeatherBaga 2.2,2009-11-25 09:45:00,
2009-11-25 01:50:00,42.0,39.1,30.13,SSE,157,0.5,1.5,89,0.00,,,0.00,11.019,WeatherBaga 2.2,2009-11-25 09:50:00,
2009-11-25 01:55:00,41.9,39.0,30.13,WNW,293,0.5,1.2,90,0.00,,,0.00,10.999,WeatherBaga 2.2,2009-11-25 09:55:00,
2009-11-25 02:00:00,41.7,39.0,30.13,SSW,204,0.3,0.9,90,0.00,,,0.00,11.052,WeatherBaga 2.2,2009-11-25 10:00:00,
2009-11-25 02:05:00,41.5,38.9,30.13,WSW,238,0.7,1.1,90,0.00,,,0.00,10.936,WeatherBaga 2.2,2009-11-25 10:05:00,
2009-11-25 02:10:00,41.5,38.9,30.13,WNW,301,0.9,1.4,90,0.00,,,0.00,10.933,WeatherBaga 2.2,2009-11-25 10:10:00,
2009-11-25 02:15:00,41.3,38.8,30.14,NW,309,1.0,1.4,91,0.00,,,0.00,10.784,WeatherBaga 2.2,2009-11-25 10:15:00,
2009-11-25 02:20:00,41.3,38.8,30.13,West,280,1.1,1.2,91,0.00,,,0.00,10.656,WeatherBaga 2.2,2009-11-25 10:20:00,
2009-11-25 02:25:00,41.3,38.8,30.13,West,263,0.4,1.2,91,0.00,,,0.00,11.005,WeatherBaga 2.2,2009-11-25 10:25:00,
2009-11-25 02:30:00,41.1,38.9,30.13,NW,322,0.6,1.1,92,0.00,,,0.00,11.025,WeatherBaga 2.2,2009-11-25 10:30:00,
2009-11-25 02:35:00,41.1,38.8,30.13,WNW,299,0.5,1.3,92,0.00,,,0.00,10.979,WeatherBaga 2.2,2009-11-25 10:35:00,
2009-11-25 02:40:00,41.1,38.9,30.13,SSW,192,0.5,1.3,92,0.00,,,0.00,11.022,WeatherBaga 2.2,2009-11-25 10:40:00,
2009-11-25 02:45:00,41.0,38.7,30.13,West,278,0.9,1.2,92,0.00,,,0.00,10.883,WeatherBaga 2.2,2009-11-25 10:45:00,
2009-11-25 02:50:00,41.0,38.8,30.13,SW,236,0.4,1.2,92,0.00,,,0.00,10.817,WeatherBaga 2.2,2009-11-25 10:50:00,
2009-11-25 02:55:00,41.0,38.8,30.13,WSW,246,0.9,1.1,92,0.00,,,0.00,10.930,WeatherBaga 2.2,2009-11-25 10:55:00,
2009-11-25 03:00:00,40.8,38.6,30.13,SE,143,0.3,1.1,92,0.00,,,0.00,10.920,WeatherBaga 2.2,2009-11-25 11:00:00,
2009-11-25 03:05:00,40.6,38.4,30.13,WNW,302,1.1,1.2,92,0.00,,,0.00,10.857,WeatherBaga 2.2,2009-11-25 11:05:00,
2009-11-25 03:10:00,40.6,38.5,30.13,WSW,242,0.9,1.2,92,0.00,,,0.00,10.973,WeatherBaga 2.2,2009-11-25 11:10:00,
2009-11-25 03:15:00,40.6,38.5,30.13,West,264,0.7,1.3,92,0.00,,,0.00,10.999,WeatherBaga 2.2,2009-11-25 11:15:00,
2009-11-25 03:20:00,40.6,38.4,30.13,WSW,251,0.6,1.3,92,0.00,,,0.00,11.039,WeatherBaga 2.2,2009-11-25 11:20:00,
2009-11-25 03:25:00,40.6,38.5,30.13,SE,144,0.8,1.3,92,0.00,,,0.00,10.943,WeatherBaga 2.2,2009-11-25 11:25:00,
2009-11-25 03:30:00,40.6,38.3,30.13,SSE,153,0.8,1.4,92,0.00,,,0.00,10.989,WeatherBaga 2.2,2009-11-25 11:30:00,
2009-11-25 03:50:00,40.1,38.1,30.13,SSE,168,0.3,1.0,92,0.00,,,0.00,10.966,WeatherBaga 2.2,2009-11-25 11:50:00,
2009-11-25 03:55:00,39.9,38.0,30.13,SSW,201,0.8,1.1,93,0.00,,,0.00,11.065,WeatherBaga 2.2,2009-11-25 11:55:00,
2009-11-25 04:00:00,39.9,38.1,30.13,NNW,335,0.2,1.1,93,0.00,,,0.00,10.906,WeatherBaga 2.2,2009-11-25 12:00:00,
2009-11-25 04:05:00,39.7,37.9,30.13,ENE,57,0.1,1.2,93,0.00,,,0.00,11.045,WeatherBaga 2.2,2009-11-25 12:05:00,
2009-11-25 04:10:00,39.7,37.9,30.13,SSE,152,0.6,1.2,93,0.00,,,0.00,10.986,WeatherBaga 2.2,2009-11-25 12:10:00,
2009-11-25 04:15:00,39.5,37.8,30.13,West,275,1.0,1.2,94,0.00,,,0.00,10.963,WeatherBaga 2.2,2009-11-25 12:15:00,
2009-11-25 04:20:00,39.5,37.9,30.13,North,350,0.4,1.4,94,0.00,,,0.00,10.867,WeatherBaga 2.2,2009-11-25 12:20:00,
2009-11-25 04:25:00,39.5,37.9,30.13,NW,307,0.6,1.4,94,0.00,,,0.00,10.949,WeatherBaga 2.2,2009-11-25 12:25:00,
2009-11-25 04:30:00,39.5,37.9,30.13,West,265,0.2,1.4,94,0.00,,,0.00,10.906,WeatherBaga 2.2,2009-11-25 12:30:00,
2009-11-25 04:35:00,39.5,37.9,30.13,South,183,0.8,1.1,94,0.00,,,0.00,10.900,WeatherBaga 2.2,2009-11-25 12:35:00,
2009-11-25 04:40:00,39.3,37.7,30.13,SW,231,0.8,1.1,94,0.00,,,0.00,11.015,WeatherBaga 2.2,2009-11-25 12:40:00,
2009-11-25 04:45:00,39.3,37.7,30.13,West,273,0.1,1.1,94,0.00,,,0.00,10.969,WeatherBaga 2.2,2009-11-25 12:45:00,
2009-11-25 04:50:00,39.2,37.7,30.13,WNW,290,0.6,1.0,94,0.00,,,0.00,10.982,WeatherBaga 2.2,2009-11-25 12:50:00,
2009-11-25 04:55:00,39.2,37.7,30.13,SSE,162,0.4,1.0,94,0.00,,,0.00,10.966,WeatherBaga 2.2,2009-11-25 12:55:00,
2009-11-25 05:00:00,39.0,37.5,30.13,North,1,0.4,0.8,94,0.00,,,0.00,10.979,WeatherBaga 2.2,2009-11-25 13:00:00,
2009-11-25 05:05:00,39.0,37.6,30.13,West,278,0.4,1.5,95,0.00,,,0.00,11.009,WeatherBaga 2.2,2009-11-25 13:05:00,
2009-11-25 05:10:00,39.0,37.7,30.12,WSW,239,0.6,1.5,95,0.00,,,0.00,11.019,WeatherBaga 2.2,2009-11-25 13:10:00,
2009-11-25 05:15:00,39.0,37.7,30.13,SW,216,0.8,1.2,95,0.00,,,0.00,11.075,WeatherBaga 2.2,2009-11-25 13:15:00,
2009-11-25 05:20:00,39.0,37.7,30.13,SW,229,0.7,1.5,95,0.00,,,0.00,10.999,WeatherBaga 2.2,2009-11-25 13:20:00,
2009-11-25 05:25:00,39.0,37.7,30.13,WNW,295,1.3,1.7,95,0.00,,,0.00,10.930,WeatherBaga 2.2,2009-11-25 13:25:00,
2009-11-25 05:30:00,39.0,37.8,30.13,West,276,0.6,1.7,95,0.00,,,0.00,10.923,WeatherBaga 2.2,2009-11-25 13:30:00,
2009-11-25 05:35:00,39.2,38.0,30.13,NNE,17,0.4,1.3,96,0.00,,,0.00,11.072,WeatherBaga 2.2,2009-11-25 13:35:00,
2009-11-25 05:40:00,39.2,37.9,30.13,West,268,1.0,1.5,95,0.00,,,0.00,11.039,WeatherBaga 2.2,2009-11-25 13:40:00,
2009-11-25 05:45:00,39.2,38.0,30.13,SSW,209,0.5,1.9,95,0.00,,,0.00,10.976,WeatherBaga 2.2,2009-11-25 13:45:00,
2009-11-25 05:50:00,39.2,38.0,30.13,WSW,256,0.7,1.9,96,0.00,,,0.00,10.953,WeatherBaga 2.2,2009-11-25 13:50:00,
2009-11-25 05:55:00,39.3,38.1,30.13,WNW,284,0.6,1.6,96,0.00,,,0.00,10.900,WeatherBaga 2.2,2009-11-25 13:55:00,
2009-11-25 06:00:00,39.2,38.0,30.13,WNW,297,0.8,1.3,95,0.00,,,0.00,10.926,WeatherBaga 2.2,2009-11-25 14:00:00,
2009-11-25 06:05:00,39.2,38.0,30.13,SW,221,0.6,1.3,95,0.00,,,0.00,10.695,WeatherBaga 2.2,2009-11-25 14:05:00,
2009-11-25 06:10:00,39.2,38.0,30.13,WNW,289,0.7,1.2,95,0.00,,,0.00,10.910,WeatherBaga 2.2,2009-11-25 14:10:00,
2009-11-25 06:15:00,39.2,37.9,30.13,WSW,254,0.7,1.2,95,0.00,,,0.00,11.045,WeatherBaga 2.2,2009-11-25 14:15:00,
