Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2014-09-28 00:02:00,57.7,53.7,29.85,South,174,2.0,3.7,86,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 07:02:00,
2014-09-28 00:07:00,58.2,53.8,29.85,South,190,3.1,5.1,85,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 07:07:00,
2014-09-28 00:12:00,58.8,53.8,29.85,South,172,1.2,7.0,84,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 07:12:00,
2014-09-28 00:15:00,59.1,53.8,29.85,SE,133,1.5,7.0,83,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 07:15:00,
2014-09-28 00:20:00,59.3,53.6,29.85,South,187,0.6,3.7,81,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 07:20:00,
2014-09-28 00:25:00,59.3,53.4,29.85,SSW,197,1.1,3.3,81,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 07:25:00,
2014-09-28 00:30:00,59.5,53.4,29.85,SW,228,1.1,4.2,80,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 07:30:00,
2014-09-28 00:35:00,59.7,53.3,29.85,SW,227,0.6,4.2,80,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 07:35:00,
2014-09-28 00:40:00,59.7,53.3,29.85,SSE,155,0.7,2.8,79,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 07:40:00,
2014-09-28 00:45:00,59.7,53.3,29.85,NW,313,1.0,2.8,79,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 07:45:00,
2014-09-28 00:50:00,59.5,53.3,29.85,ESE,117,0.7,2.7,80,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 07:50:00,
2014-09-28 00:55:00,59.3,53.3,29.85,South,185,1.2,2.4,81,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 07:55:00,
2014-09-28 01:00:00,59.1,53.4,29.85,East,98,1.4,3.0,81,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 08:00:00,
2014-09-28 01:05:00,59.0,53.3,29.85,SSW,194,0.9,3.0,81,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 08:05:00,
2014-09-28 01:10:00,59.1,53.3,29.84,NNE,29,0.3,2.7,81,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 08:10:00,
2014-09-28 01:15:00,58.8,53.3,29.84,North,6,0.2,2.7,82,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 08:15:00,
2014-09-28 01:20:00,58.6,53.2,29.84,South,172,0.8,2.7,82,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 08:20:00,
2014-09-28 01:25:00,58.4,53.1,29.84,South,180,0.7,2.7,83,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 08:25:00,
2014-09-28 01:30:00,58.4,53.4,29.84,ENE,77,0.4,2.9,84,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 08:30:00,
2014-09-28 01:35:00,58.2,53.2,29.85,East,87,0.4,2.9,84,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 08:35:00,
2014-09-28 01:40:00,58.1,53.1,29.85,NNW,347,0.8,1.4,83,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 08:40:00,
2014-09-28 01:45:00,57.9,53.1,29.85,NW,324,0.5,1.7,84,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 08:45:00,
2014-09-28 01:50:00,57.7,53.0,29.85,South,184,0.8,1.8,84,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 08:50:00,
2014-09-28 01:55:00,57.5,52.8,29.85,SSW,213,0.5,1.8,84,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 08:55:00,
2014-09-28 01:59:00,57.3,52.7,29.85,WSW,257,0.8,1.3,84,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 08:59:00,
2014-09-28 02:04:00,57.2,52.5,29.85,SSW,193,0.6,1.3,84,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 09:04:00,
2014-09-28 02:09:00,57.2,52.8,29.85,East,79,0.3,1.5,85,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 09:09:00,
2014-09-28 02:14:00,57.2,53.0,29.85,WSW,256,0.2,1.5,86,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 09:14:00,
2014-09-28 02:19:00,57.0,52.8,29.85,South,188,0.4,1.2,86,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 09:19:00,
2014-09-28 02:24:00,56.8,52.6,29.85,WNW,286,0.3,1.2,86,0.00,,,0.00,1,WeatherBaga 2.4.4,2014-09-28 09:24:00,
