Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2010-06-26 00:01:00,55.9,51.7,29.98,ESE,122,1.2,2.9,86,0.00,,,0.00,10.986,WeatherBaga 2.3,2010-06-26 07:01:00,
2010-06-26 00:06:00,56.1,51.7,29.98,SSE,160,1.6,3.1,85,0.00,,,0.00,10.936,WeatherBaga 2.3,2010-06-26 07:06:00,
2010-06-26 00:11:00,56.3,51.9,29.97,ESE,108,1.1,3.3,85,0.00,,,0.00,10.999,WeatherBaga 2.3,2010-06-26 07:11:00,
2010-06-26 00:16:00,56.4,51.9,29.97,South,182,1.1,3.3,85,0.00,,,0.00,10.989,WeatherBaga 2.3,2010-06-26 07:16:00,
2010-06-26 00:21:00,56.6,51.9,29.97,SSE,160,1.3,3.7,84,0.00,,,0.00,11.022,WeatherBaga 2.3,2010-06-26 07:21:00,
2010-06-26 00:26:00,56.6,51.9,29.97,SE,144,1.3,3.7,84,0.00,,,0.00,10.504,WeatherBaga 2.3,2010-06-26 07:26:00,
2010-06-26 00:31:00,56.6,51.8,29.97,ESE,119,0.8,4.4,84,0.00,,,0.00,10.784,WeatherBaga 2.3,2010-06-26 07:31:00,
2010-06-26 00:36:00,56.6,51.7,29.97,WSW,238,1.0,4.4,84,0.00,,,0.00,10.788,WeatherBaga 2.3,2010-06-26 07:36:00,
2010-06-26 00:41:00,56.6,51.6,29.97,SSE,153,3.4,5.5,83,0.00,,,0.00,11.035,WeatherBaga 2.3,2010-06-26 07:41:00,
2010-06-26 00:46:00,56.6,51.5,29.97,SSE,155,0.8,5.5,83,0.00,,,0.00,11.012,WeatherBaga 2.3,2010-06-26 07:46:00,
2010-06-26 00:51:00,56.6,51.5,29.97,SSE,160,1.8,4.7,83,0.00,,,0.00,11.098,WeatherBaga 2.3,2010-06-26 07:51:00,
2010-06-26 00:56:00,56.6,51.5,29.97,SE,125,0.6,4.4,83,0.00,,,0.00,11.045,WeatherBaga 2.3,2010-06-26 07:56:00,
2010-06-26 01:01:00,56.6,51.5,29.97,SSE,162,1.9,3.9,83,0.00,,,0.00,11.035,WeatherBaga 2.3,2010-06-26 08:01:00,
2010-06-26 01:06:00,56.6,51.6,29.97,SE,129,1.4,3.2,83,0.00,,,0.00,11.009,WeatherBaga 2.3,2010-06-26 08:06:00,
