Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2010-08-12 00:00:00,56.6,51.8,29.97,SW,214,0.3,2.5,84,0.00,,,0.00,11.114,WeatherBaga 2.3,2010-08-12 07:00:00,
2010-08-12 00:05:00,56.6,51.7,29.97,North,11,0.5,1.9,84,0.00,,,0.00,10.959,WeatherBaga 2.3,2010-08-12 07:05:00,
2010-08-12 00:10:00,56.6,51.6,29.97,NNW,334,1.8,2.9,84,0.00,,,0.00,10.454,WeatherBaga 2.3,2010-08-12 07:10:00,
2010-08-12 00:15:00,56.4,51.5,29.97,NNW,346,1.9,3.6,84,0.00,,,0.00,10.870,WeatherBaga 2.3,2010-08-12 07:15:00,
2010-08-12 00:20:00,56.4,51.6,29.97,North,356,2.5,3.6,84,0.00,,,0.00,11.081,WeatherBaga 2.3,2010-08-12 07:20:00,
2010-08-12 00:25:00,56.3,51.6,29.97,NNW,327,1.3,3.4,84,0.00,,,0.00,10.811,WeatherBaga 2.3,2010-08-12 07:25:00,
2010-08-12 00:30:00,56.4,51.7,29.97,ENE,70,1.0,2.9,84,0.00,,,0.00,11.019,WeatherBaga 2.3,2010-08-12 07:30:00,
2010-08-12 00:35:00,56.4,51.6,29.97,NE,40,0.7,2.4,84,0.00,,,0.00,11.075,WeatherBaga 2.3,2010-08-12 07:35:00,
2010-08-12 00:40:00,56.4,51.6,29.97,NNW,344,2.5,3.0,84,0.00,,,0.00,10.890,WeatherBaga 2.3,2010-08-12 07:40:00,
2010-08-12 00:45:00,56.3,51.6,29.96,North,350,0.9,3.3,84,0.00,,,0.00,11.009,WeatherBaga 2.3,2010-08-12 07:45:00,
2010-08-12 00:50:00,56.3,51.6,29.96,SSE,163,0.4,3.3,84,0.00,,,0.00,11.055,WeatherBaga 2.3,2010-08-12 07:50:00,
2010-08-12 00:55:00,56.3,51.6,29.96,ESE,105,0.4,2.1,84,0.00,,,0.00,10.781,WeatherBaga 2.3,2010-08-12 07:55:00,
2010-08-12 01:00:00,56.3,51.5,29.96,NNE,20,0.6,2.4,84,0.00,,,0.00,10.742,WeatherBaga 2.3,2010-08-12 08:00:00,
2010-08-12 01:05:00,56.4,51.6,29.96,North,358,1.1,2.4,84,0.00,,,0.00,10.986,WeatherBaga 2.3,2010-08-12 08:05:00,
2010-08-12 01:10:00,56.3,51.5,29.96,NNW,346,2.2,2.6,84,0.00,,,0.00,11.058,WeatherBaga 2.3,2010-08-12 08:10:00,
2010-08-12 01:15:00,56.3,51.5,29.96,NNW,348,1.4,3.5,84,0.00,,,0.00,10.953,WeatherBaga 2.3,2010-08-12 08:15:00,
2010-08-12 01:20:00,56.3,51.5,29.96,NW,311,1.7,3.5,84,0.00,,,0.00,11.039,WeatherBaga 2.3,2010-08-12 08:20:00,
2010-08-12 01:25:00,56.3,51.4,29.96,NNW,339,1.2,3.1,84,0.00,,,0.00,11.101,WeatherBaga 2.3,2010-08-12 08:25:00,
2010-08-12 01:30:00,56.3,51.5,29.96,NNW,335,1.4,2.8,84,0.00,,,0.00,10.989,WeatherBaga 2.3,2010-08-12 08:30:00,
2010-08-12 01:35:00,56.4,51.5,29.96,East,94,0.5,3.0,84,0.00,,,0.00,11.157,WeatherBaga 2.3,2010-08-12 08:35:00,
