Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2010-11-25 00:04:00,33.0,29.9,30.20,WSW,245,0.9,1.5,88,0.00,,,0.00,11.012,WeatherBaga 2.3.1,2010-11-25 08:04:00,
2010-11-25 00:09:00,33.0,29.9,30.21,West,266,0.8,1.5,88,0.00,,,0.00,10.916,WeatherBaga 2.3.1,2010-11-25 08:09:00,
2010-11-25 00:14:00,33.0,30.0,30.21,SSW,200,0.5,1.3,89,0.00,,,0.00,10.953,WeatherBaga 2.3.1,2010-11-25 08:14:00,
2010-11-25 00:19:00,33.0,30.0,30.21,SSW,211,0.3,1.9,89,0.00,,,0.00,11.045,WeatherBaga 2.3.1,2010-11-25 08:19:00,
2010-11-25 00:20:00,33.0,30.0,30.21,WSW,250,0.7,1.9,89,0.00,,,0.00,10.966,WeatherBaga 2.3.1,2010-11-25 08:20:00,
2010-11-25 00:24:00,32.9,29.9,30.21,SW,214,0.5,1.9,89,0.00,,,0.00,10.689,WeatherBaga 2.3.1,2010-11-25 08:24:00,
2010-11-25 00:25:00,32.9,29.9,30.21,NW,308,0.6,1.9,89,0.00,,,0.00,10.982,WeatherBaga 2.3.1,2010-11-25 08:25:00,
2010-11-25 00:26:00,32.9,29.9,30.21,SSW,195,0.6,1.9,89,0.00,,,0.00,10.976,WeatherBaga 2.3.1,2010-11-25 08:26:00,
2010-11-25 00:29:00,32.9,30.0,30.21,South,191,0.9,1.1,89,0.00,,,0.00,10.616,WeatherBaga 2.3.1,2010-11-25 08:29:00,
2010-11-25 00:30:00,32.9,30.0,30.21,SSW,194,0.8,1.1,89,0.00,,,0.00,10.933,WeatherBaga 2.3.1,2010-11-25 08:30:00,
2010-11-25 00:31:00,32.9,30.0,30.21,SSE,168,0.3,1.1,89,0.00,,,0.00,10.940,WeatherBaga 2.3.1,2010-11-25 08:31:00,
2010-11-25 00:34:00,32.9,30.0,30.21,WSW,240,0.8,1.2,89,0.00,,,0.00,10.702,WeatherBaga 2.3.1,2010-11-25 08:34:00,
2010-11-25 00:35:00,32.7,29.8,30.21,WNW,301,1.0,1.2,89,0.00,,,0.00,10.877,WeatherBaga 2.3.1,2010-11-25 08:35:00,
2010-11-25 00:36:00,32.7,29.8,30.21,WNW,288,1.2,1.4,89,0.00,,,0.00,10.900,WeatherBaga 2.3.1,2010-11-25 08:36:00,
2010-11-25 00:41:00,32.7,29.9,30.21,WNW,295,1.1,1.7,89,0.00,,,0.00,10.765,WeatherBaga 2.3.1,2010-11-25 08:41:00,
2010-11-25 00:42:00,32.7,29.9,30.21,NW,304,0.9,1.7,89,0.00,,,0.00,10.765,WeatherBaga 2.3.1,2010-11-25 08:42:00,
2010-11-25 00:47:00,32.7,29.8,30.21,West,266,0.6,1.7,89,0.00,,,0.00,10.910,WeatherBaga 2.3.1,2010-11-25 08:47:00,
2010-11-25 00:50:00,32.7,29.8,30.21,SSW,208,1.1,1.4,89,0.00,,,0.00,10.992,WeatherBaga 2.3.1,2010-11-25 08:50:00,
2010-11-25 00:52:00,32.7,29.8,30.21,SSW,194,0.9,1.3,89,0.00,,,0.00,11.012,WeatherBaga 2.3.1,2010-11-25 08:52:00,
2010-11-25 00:55:00,32.7,29.8,30.21,SSE,149,0.5,1.3,89,0.00,,,0.00,10.949,WeatherBaga 2.3.1,2010-11-25 08:55:00,
2010-11-25 00:57:00,32.7,29.8,30.21,South,183,0.7,1.7,89,0.00,,,0.00,10.986,WeatherBaga 2.3.1,2010-11-25 08:57:00,
2010-11-25 00:59:00,32.7,29.9,30.21,South,177,0.6,1.7,89,0.00,,,0.00,11.072,WeatherBaga 2.3.1,2010-11-25 08:59:00,
2010-11-25 01:00:00,32.7,29.9,30.21,SW,224,0.4,1.7,89,0.00,,,0.00,11.052,WeatherBaga 2.3.1,2010-11-25 09:00:00,
2010-11-25 01:02:00,32.5,29.7,30.21,SSW,205,0.6,1.7,89,0.00,,,0.00,11.005,WeatherBaga 2.3.1,2010-11-25 09:02:00,
2010-11-25 01:04:00,32.5,29.7,30.21,SW,219,0.9,1.7,89,0.00,,,0.00,11.098,WeatherBaga 2.3.1,2010-11-25 09:04:00,
2010-11-25 01:06:00,32.5,29.7,30.21,West,268,0.9,1.7,89,0.00,,,0.00,11.032,WeatherBaga 2.3.1,2010-11-25 09:06:00,
2010-11-25 01:07:00,32.5,29.7,30.21,WNW,288,0.6,1.2,89,0.00,,,0.00,10.926,WeatherBaga 2.3.1,2010-11-25 09:07:00,
2010-11-25 01:11:00,32.3,29.5,30.21,West,269,0.4,1.1,89,0.00,,,0.00,10.827,WeatherBaga 2.3.1,2010-11-25 09:11:00,
2010-11-25 01:12:00,32.3,29.6,30.21,West,280,0.4,1.1,90,0.00,,,0.00,11.012,WeatherBaga 2.3.1,2010-11-25 09:12:00,
