Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2013-10-17 00:03:00,52.1,39.6,30.05,SSW,200,0.1,1.0,62,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 07:03:00,
2013-10-17 00:08:00,51.9,39.7,30.05,WSW,250,0.8,1.0,63,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 07:08:00,
2013-10-17 00:13:00,51.8,39.5,30.05,WNW,289,0.8,1.0,63,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 07:13:00,
2013-10-17 00:18:00,51.6,39.3,30.05,SW,233,0.5,1.1,63,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 07:18:00,
2013-10-17 00:23:00,51.6,39.3,30.05,SSW,196,0.5,1.1,63,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 07:23:00,
2013-10-17 00:28:00,51.4,39.1,30.05,West,274,0.5,1.1,63,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 07:28:00,
2013-10-17 00:33:00,51.2,38.9,30.05,NE,44,0.2,0.9,63,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 07:33:00,
2013-10-17 00:38:00,51.0,39.1,30.05,SE,139,0.2,0.7,64,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 07:38:00,
2013-10-17 00:43:00,50.9,38.9,30.05,SSW,205,0.1,0.6,63,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 07:43:00,
2013-10-17 00:48:00,50.7,39.2,30.06,NNW,336,0.6,1.0,65,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 07:48:00,
2013-10-17 00:53:00,50.5,39.2,30.06,WNW,302,0.9,1.0,65,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 07:53:00,
2013-10-17 00:58:00,50.3,39.1,30.06,South,189,0.4,1.2,65,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 07:58:00,
2013-10-17 01:03:00,50.3,39.4,30.06,SSW,203,0.9,1.2,66,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 08:03:00,
2013-10-17 01:08:00,50.1,39.0,30.06,SSE,164,0.2,1.2,66,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 08:08:00,
2013-10-17 01:13:00,50.1,39.2,30.06,WSW,251,0.3,1.2,66,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 08:13:00,
2013-10-17 01:18:00,50.0,39.1,30.06,SSW,205,0.3,1.1,66,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 08:18:00,
2013-10-17 01:23:00,49.8,39.3,30.06,West,265,0.7,1.1,67,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 08:23:00,
2013-10-17 01:28:00,49.6,38.8,30.06,SW,215,0.6,1.1,66,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 08:28:00,
2013-10-17 01:33:00,49.6,38.9,30.06,SW,228,0.4,0.9,67,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 08:33:00,
2013-10-17 01:38:00,49.4,38.7,30.06,SW,230,0.9,1.0,66,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 08:38:00,
2013-10-17 01:43:00,49.6,39.0,30.06,WNW,282,0.6,1.4,67,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 08:43:00,
2013-10-17 01:48:00,49.4,38.9,30.06,ESE,111,0.2,1.4,67,0.00,,,0.00,1,WeatherBaga 2.4.4,2013-10-17 08:48:00,
