Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2013-05-03 00:03:00,61.7,43.8,30.10,ENE,66,0.8,3.0,52,0.00,,,0.00,0.996,WeatherBaga 2.4.4,2013-05-03 07:03:00,
2013-05-03 00:08:00,61.5,43.7,30.10,West,281,1.4,2.1,52,0.00,,,0.00,0.880,WeatherBaga 2.4.4,2013-05-03 07:08:00,
2013-05-03 00:13:00,61.3,43.7,30.10,West,273,1.9,2.6,52,0.00,,,0.00,1.025,WeatherBaga 2.4.4,2013-05-03 07:13:00,
2013-05-03 00:18:00,61.1,43.1,30.10,WSW,245,0.9,2.6,52,0.00,,,0.00,0.936,WeatherBaga 2.4.4,2013-05-03 07:18:00,
2013-05-03 00:23:00,60.8,43.1,30.10,South,179,0.7,2.1,52,0.00,,,0.00,0.966,WeatherBaga 2.4.4,2013-05-03 07:23:00,
2013-05-03 00:29:00,60.4,42.3,30.09,West,275,0.5,1.9,51,0.00,,,0.00,0.890,WeatherBaga 2.4.4,2013-05-03 07:29:00,
2013-05-03 00:34:00,60.2,42.5,30.09,ESE,114,0.3,1.8,52,0.00,,,0.00,0.939,WeatherBaga 2.4.4,2013-05-03 07:34:00,
2013-05-03 00:39:00,59.9,42.8,30.09,WNW,300,1.2,1.3,53,0.00,,,0.00,0.906,WeatherBaga 2.4.4,2013-05-03 07:39:00,
2013-05-03 00:44:00,59.7,42.9,30.09,SW,218,0.9,1.4,54,0.00,,,0.00,0.920,WeatherBaga 2.4.4,2013-05-03 07:44:00,
2013-05-03 00:49:00,59.3,42.7,30.09,SE,137,0.6,1.4,54,0.00,,,0.00,0.877,WeatherBaga 2.4.4,2013-05-03 07:49:00,
2013-05-03 00:54:00,59.1,42.1,30.09,SSE,149,0.5,1.4,53,0.00,,,0.00,0.939,WeatherBaga 2.4.4,2013-05-03 07:54:00,
2013-05-03 00:59:00,59.0,42.0,30.09,WNW,292,0.3,1.2,53,0.00,,,0.00,0.966,WeatherBaga 2.4.4,2013-05-03 07:59:00,
2013-05-03 01:04:00,58.6,41.8,30.09,NW,308,0.5,1.3,54,0.00,,,0.00,0.821,WeatherBaga 2.4.4,2013-05-03 08:04:00,
2013-05-03 01:09:00,58.2,42.5,30.09,West,279,1.5,1.7,56,0.00,,,0.00,0.880,WeatherBaga 2.4.4,2013-05-03 08:09:00,
2013-05-03 01:14:00,58.2,42.4,30.09,WNW,296,0.9,1.7,56,0.00,,,0.00,0.665,WeatherBaga 2.4.4,2013-05-03 08:14:00,
2013-05-03 01:19:00,57.9,42.4,30.09,ENE,66,0.8,1.7,56,0.00,,,0.00,0.969,WeatherBaga 2.4.4,2013-05-03 08:19:00,
2013-05-03 01:25:00,57.7,42.4,30.08,SSW,206,0.4,1.3,57,0.00,,,0.00,0.923,WeatherBaga 2.4.4,2013-05-03 08:25:00,
2013-05-03 01:30:00,57.5,42.1,30.08,NNW,342,0.3,1.1,56,0.00,,,0.00,0.906,WeatherBaga 2.4.4,2013-05-03 08:30:00,
2013-05-03 01:35:00,57.2,41.8,30.08,SW,220,0.8,1.2,56,0.00,,,0.00,0.956,WeatherBaga 2.4.4,2013-05-03 08:35:00,
2013-05-03 01:40:00,57.0,42.2,30.08,South,179,0.7,1.2,58,0.00,,,0.00,0.963,WeatherBaga 2.4.4,2013-05-03 08:40:00,
2013-05-03 01:45:00,56.8,42.2,30.08,WSW,252,1.1,1.2,58,0.00,,,0.00,0.969,WeatherBaga 2.4.4,2013-05-03 08:45:00,
2013-05-03 01:50:00,56.8,42.7,30.08,NNE,25,0.5,1.6,59,0.00,,,0.00,0.976,WeatherBaga 2.4.4,2013-05-03 08:50:00,
2013-05-03 01:55:00,56.8,42.9,30.08,ENE,58,0.8,1.6,60,0.00,,,0.00,0.936,WeatherBaga 2.4.4,2013-05-03 08:55:00,
2013-05-03 02:00:00,56.6,42.8,30.07,SSE,164,0.4,1.4,60,0.00,,,0.00,0.735,WeatherBaga 2.4.4,2013-05-03 09:00:00,
2013-05-03 02:06:00,56.3,42.6,30.07,SW,223,0.4,1.4,60,0.00,,,0.00,0.682,WeatherBaga 2.4.4,2013-05-03 09:06:00,
