Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2013-07-07 00:04:00,57.2,52.8,29.80,East,79,0.6,1.2,85,0.00,,,0.00,0.860,WeatherBaga 2.4.4,2013-07-07 07:04:00,
2013-07-07 00:10:00,57.2,52.8,29.80,ESE,108,0.5,1.0,85,0.00,,,0.00,0.761,WeatherBaga 2.4.4,2013-07-07 07:10:00,
2013-07-07 00:15:00,57.3,52.9,29.80,SSE,156,0.5,0.9,85,0.00,,,0.00,0.936,WeatherBaga 2.4.4,2013-07-07 07:15:00,
2013-07-07 00:20:00,57.3,52.9,29.80,NW,316,0.2,1.2,85,0.00,,,0.00,0.906,WeatherBaga 2.4.4,2013-07-07 07:20:00,
2013-07-07 00:25:00,57.5,53.2,29.80,ESE,109,0.3,2.0,86,0.00,,,0.00,0.814,WeatherBaga 2.4.4,2013-07-07 07:25:00,
2013-07-07 00:30:00,57.5,53.1,29.80,SE,135,0.3,2.0,85,0.00,,,0.00,0.580,WeatherBaga 2.4.4,2013-07-07 07:30:00,
2013-07-07 00:36:00,57.5,53.0,29.80,South,180,0.5,1.3,85,0.00,,,0.00,0.946,WeatherBaga 2.4.4,2013-07-07 07:36:00,
2013-07-07 00:41:00,57.7,53.2,29.80,NNE,26,0.9,2.2,85,0.00,,,0.00,0.590,WeatherBaga 2.4.4,2013-07-07 07:41:00,
2013-07-07 00:46:00,57.7,53.2,29.80,SE,128,0.8,2.2,85,0.00,,,0.00,0.708,WeatherBaga 2.4.4,2013-07-07 07:46:00,
2013-07-07 00:52:00,57.9,53.4,29.80,NE,35,0.6,1.9,85,0.00,,,0.00,0.797,WeatherBaga 2.4.4,2013-07-07 07:52:00,
2013-07-07 00:57:00,58.1,53.6,29.81,South,190,0.8,1.9,85,0.00,,,0.00,0.867,WeatherBaga 2.4.4,2013-07-07 07:57:00,
