Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SolarRadiationWatts/m^2,SoftwareType,DateUTC
2013-08-26 00:02:00,61.8,56.7,29.96,SSW,192,0.6,2.4,83,0.00,,,0.00,0.728,WeatherBaga 2.4.4,2013-08-26 07:02:00,
2013-08-26 00:07:00,62.0,56.7,29.96,South,190,1.4,2.4,83,0.00,,,0.00,0.890,WeatherBaga 2.4.4,2013-08-26 07:07:00,
2013-08-26 00:12:00,62.2,56.7,29.96,SW,220,0.7,1.8,82,0.00,,,0.00,0.903,WeatherBaga 2.4.4,2013-08-26 07:12:00,
2013-08-26 00:17:00,62.4,56.6,29.96,West,261,2.4,2.7,82,0.00,,,0.00,0.920,WeatherBaga 2.4.4,2013-08-26 07:17:00,
2013-08-26 00:22:00,62.6,56.5,29.96,WSW,242,0.2,2.7,80,0.00,,,0.00,0.880,WeatherBaga 2.4.4,2013-08-26 07:22:00,
2013-08-26 00:27:00,62.7,56.3,29.96,WNW,284,1.9,3.1,80,0.00,,,0.00,0.910,WeatherBaga 2.4.4,2013-08-26 07:27:00,
2013-08-26 00:32:00,62.9,56.3,29.96,SSW,200,0.3,3.1,79,0.00,,,0.00,0.900,WeatherBaga 2.4.4,2013-08-26 07:32:00,
2013-08-26 00:37:00,63.1,56.4,29.96,SW,221,1.6,2.6,79,0.00,,,0.00,0.870,WeatherBaga 2.4.4,2013-08-26 07:37:00,
2013-08-26 00:42:00,63.1,56.2,29.96,SW,222,0.4,2.3,78,0.00,,,0.00,0.840,WeatherBaga 2.4.4,2013-08-26 07:42:00,
2013-08-26 00:47:00,63.3,56.3,29.97,NW,308,0.2,2.3,78,0.00,,,0.00,0.883,WeatherBaga 2.4.4,2013-08-26 07:47:00,
2013-08-26 00:52:00,63.3,56.2,29.97,SW,227,0.5,3.5,78,0.00,,,0.00,0.824,WeatherBaga 2.4.4,2013-08-26 07:52:00,
2013-08-26 00:57:00,63.3,56.1,29.97,West,270,1.3,3.5,77,0.00,,,0.00,0.936,WeatherBaga 2.4.4,2013-08-26 07:57:00,
2013-08-26 01:02:00,63.3,56.0,29.97,West,274,0.7,2.7,77,0.00,,,0.00,0.679,WeatherBaga 2.4.4,2013-08-26 08:02:00,
2013-08-26 01:07:00,63.3,55.9,29.97,West,274,2.2,2.7,77,0.00,,,0.00,0.877,WeatherBaga 2.4.4,2013-08-26 08:07:00,
2013-08-26 01:12:00,63.3,55.7,29.97,East,99,1.2,4.1,76,0.00,,,0.00,0.906,WeatherBaga 2.4.4,2013-08-26 08:12:00,
2013-08-26 01:17:00,63.3,55.7,29.97,ENE,72,0.4,4.1,76,0.00,,,0.00,0.540,WeatherBaga 2.4.4,2013-08-26 08:17:00,
2013-08-26 01:22:00,63.3,55.7,29.97,SSW,202,1.1,6.2,76,0.00,,,0.00,0.679,WeatherBaga 2.4.4,2013-08-26 08:22:00,
2013-08-26 01:27:00,63.3,55.7,29.96,West,271,0.7,6.2,76,0.00,,,0.00,0.926,WeatherBaga 2.4.4,2013-08-26 08:27:00,
2013-08-26 01:32:00,63.3,55.8,29.97,West,271,0.4,2.5,76,0.00,,,0.00,0.817,WeatherBaga 2.4.4,2013-08-26 08:32:00,
2013-08-26 01:37:00,63.3,55.7,29.97,WSW,241,0.9,3.3,76,0.00,,,0.00,0.933,WeatherBaga 2.4.4,2013-08-26 08:37:00,
2013-08-26 01:42:00,63.3,55.8,29.97,NW,305,1.3,3.3,76,0.00,,,0.00,0.712,WeatherBaga 2.4.4,2013-08-26 08:42:00,
2013-08-26 01:47:00,63.3,55.7,29.97,West,259,1.2,2.4,76,0.00,,,0.00,0.887,WeatherBaga 2.4.4,2013-08-26 08:47:00,
2013-08-26 01:52:00,63.3,55.7,29.97,West,260,1.0,2.7,76,0.00,,,0.00,0.929,WeatherBaga 2.4.4,2013-08-26 08:52:00,
2013-08-26 01:57:00,63.3,55.7,29.97,East,79,0.6,2.7,76,0.00,,,0.00,0.883,WeatherBaga 2.4.4,2013-08-26 08:57:00,
2013-08-26 02:02:00,63.5,55.8,29.97,West,279,2.5,2.6,76,0.00,,,0.00,0.814,WeatherBaga 2.4.4,2013-08-26 09:02:00,
